718::"Visitors, The"::"Visitors, The (Les Visiteurs) "::1993::Christian Clavier|Jean Reno|ValÈrie Lemercier|Marie-Anne Chazel|Christian Bujeau|Isabelle Nanty|GÈrard SÈty|Didier Pain|Jean-Paul Muel|Arielle SÈmenoff|Michel Peyrelon|Pierre Vial|FranÁois Lalande|Didier BÈnureau|FrÈdÈric Baptiste
719::Multiplicity::Multiplicity::1996::Michael Keaton|Andie MacDowell|Zack Duhame|Katie Schlossberg|Harris Yulin|Richard Masur|Eugene Levy|Ann Cusack|John de Lancie|Judith Kahan|Brian Doyle-Murray|Obba BabatundÈ|Julie Bowen|Dawn Maxey|Kari Coleman
720::Wallace & Gromit::Wallace & Gromit:: The Best of Aardman Animation::1996::None
721::Halfmoon::Halfmoon (Paul Bowles - Halbmond)::1995::Samir Guesmi|Khaled Ksouri|Sondos Belhassen|Paul Bowles|Veronica Quilligan|Sam Cox|Said Zakir|Mohammed Belfquih|
722::"Haunted World of Edward D. Wood Jr., The"::"Haunted World of Edward D. Wood Jr., The "::1995::Eileen Atkins|Kate Beckinsale|Sheila Burrell|Stephen Fry|Freddie Jones|Joanna Lumley|Ian McKellen|Miriam Margolyes|Rufus Sewell|Ivan Kaye|Jeremy Peters|Maria Miles|Christopher Bowen|Louise Rea|Sophie Revell
723::Two Friends::Two Friends::1986::Kris Bidenko|Emma Coles|Kris McQuade|Peter Hehir|Kerry Dwyer|Stephen Leeder|Debra May|John Sheerin|Sean Travers|Emily Stocker|Lynne Murphy|Giovanni Marangoni|Benny Ulizzi|Rory Delaney|Lisa Rogers
724::"Craft, The"::"Craft, The "::1996::Robin Tunney|Fairuza Balk|Neve Campbell|Rachel True|Skeet Ulrich|Christine Taylor|Breckin Meyer|Nathaniel Marston|Cliff De Young|Assumpta Serna|Helen Shaver|Jeanine Jackson|Brenda Strong|Elizabeth Guber|Jennifer Greenhut
725::"Great White Hype, The"::"Great White Hype, The "::1996::Samuel L. Jackson|Jeff Goldblum|Peter Berg|Corbin Bernsen|Jon Lovitz|Cheech Marin|John Rhys-Davies|Salli Richardson-Whitfield|Jamie Foxx|Rocky Carroll|Albert Hall|Susan Gibney|Michael Jace|Duane Davis|Lamont Johnson
726::Last Dance::Last Dance::1996::Sharon Stone|Rob Morrow|Randy Quaid|Peter Gallagher|Jack Thompson|Jayne Brook|Pamala Tyson|Skeet Ulrich|Don Harvey|Diane Sellers|Patricia French|Jeffrey Buckner Ford|Dave Hager|Christine Cattell|Peg Allen
727::War Stories::War Stories::1995::Jean Andrews|Judith Fyfe|Rita Graham|Neva Clarke McKenna|Tui Preston|Penny Quill|Flo Small|Mabel Waititi|
728::Cold Comfort Farm::Cold Comfort Farm::1995::Sean Connery|Nicolas Cage|Ed Harris|John Spencer|David Morse|William Forsythe|Michael Biehn|Vanessa Marcil|John C. McGinley|Gregory Sporleder|Tony Todd|Bokeem Woodbine|Jim Maniaci|Greg Collins|Brendan Kelly
729::"Institute Benjamenta, or This Dream People Call Human Life"::"Institute Benjamenta, or This Dream People Call Human Life "::1995::Mark Rylance|Alice Krige|Gottfried John|Daniel Smith|Joseph Alessi|Jonathan Stone|CÈsar Sarachu|Peter Lovstrom|Uri Roodner|Peter Whitfield
730::The Low Life::"Low Life, The "::1994::Rory Cochrane|Sean Astin|Kyra Sedgwick|Ron Livingston|Christian J. Meoli|Sara Melson|James Le Gros|J.T. Walsh|Shawnee Smith|Jefferson Mays|Brent J. Williams|Antoni Corone|Angel Aviles|Mark Blum|Channon Roe|Michael Massee|Patrick Ladislav|Matthew Warren|Otto Coelho|Timothy Gallaher|Jan Boyer|Donald Zuckerman|Jon Beatty|F. Joseph Schulte|Marianne Muellerleile|Rommel Hyacinth|Kristina Loggia|Bernie Lane|George Hickenlooper|Jude Moran|Harold Jose Martinez|Esther Scott|Jimmy Taenaka|Michael Beugg|James Blevins|Tobin Heminway|Mark Anthony Little|
731::Heaven's Prisoners::Heaven's Prisoners::1996::Alec Baldwin|Kelly Lynch|Mary Stuart Masterson|Eric Roberts|Teri Hatcher|Vondie Curtis-Hall|Badja Djola|Samantha Lagpacan|Joe Viterelli|Tuck Milligan|Hawthorne James|Don Stark|Carl A. McGee|Paul Guilfoyle|Christopher Kriesa
732::Original Gangstas::Original Gangstas::1996::Fred Williamson|Jim Brown|Pam Grier|Paul Winfield|Isabel Sanford|Oscar Brown Jr.|Richard Roundtree|Ron O'Neal|Christopher B. Duncan|Eddie Bo Smith Jr.|Dru Down|Shyheim Franklin|Robert Forster|Charles Napier|Wings Hauser
733::"Rock, The"::"Rock, The "::1996::Helen Hunt|Bill Paxton|Cary Elwes|Jami Gertz|Philip Seymour Hoffman|Lois Smith|Alan Ruck|Sean Whalen|Scott Thomson|Todd Field|Joey Slotnick|Wendle Josepher|Jeremy Davies|Zach Grenier|Gregory Sporleder
734::Getting Away With Murder::Getting Away With Murder::1996::Dan Aykroyd|Lily Tomlin|Jack Lemmon|Bonnie Hunt|Brian Kerwin|Jerry Adler|Andy Romano|Robert Fields|J.C. Quinn|Susan Forristal|Marissa Chibas|Jon Korkes|Kathleen Marshall|Jacqueline Klein|Alex Appel
735::Cemetery Man::Cemetery Man (Dellamorte Dellamore)::1994::Rupert Everett|FranÁois Hadji-Lazaro|Anna Falchi|Mickey Knox|Fabiana Formica|Clive Riche|Katja Anton|Barbara Cupisti|Anton Alexander|Pietro Genuardi|Patrizia Punzo|Stefano Masciarelli|Vito Passeri|Alessandro Zamattio|Renato Donis
736::Twister::Twister::1996::Demi Moore|Burt Reynolds|Armand Assante|Ving Rhames|Robert Patrick|Paul Guilfoyle|Jerry Grayson|Rumer Willis|Robert Stanton|William Hill|Stuart Pankin|Dina Spybey-Waters|PaSean Wilson|Pandora Peaks|Barbara Alyn Woods
737::Barb Wire::Barb Wire::1996::Amir AboulEla|Adriana Alexander|David Andriole|Vanessa Lee Asher|Ron Balicki|Jennifer Banko|Candace Kita|Xander Berkeley|Tony Bill|Alex Bookston|Gil Borgos|Andre Rosey Brown|Mark Collver|Tina Cote|Vinnie Curto
738::"Garcu, Le"::"Garcu, Le "::1995::GÈrard Depardieu|GÈraldine Pailhas|Antoine Pialat|Dominique Rocheteau|Fabienne Babe|Elisabeth Depardieu|Claude Davy|Isabelle Costacurta|Isabelle Roche|Reshmah Madhoo|Ti Louis FelicitÈ|Isabelle SÈjourne|Claire de Nouel|Celine Jourdain|Florence Tardieu
739::Honigmond::Honigmond::1996::Veronica Ferres|Anica Dobra|Julia Stemberger|Kai Wiesinger|Gabriel Barylli|Heio von Stetten|Michael von Au|Uwe Ochsenknecht|Hans-Georg Nenning|Edith Bleith|Dimitri Guldener|Robert Stehr|Stefan Zimmermann|Silvia Fink|Calvin Burke
741::Ghost in the Shell::Ghost in the Shell (Kokaku kidotai)::1995::Atsuko Tanaka|Akio ‘tsuka|KÙichi Yamadera|Yutaka Nakano|Tamio ‘ki|TesshÙ Genda|Namaki Masakazu|Masato Yamanouchi|Shinji Ogawa|Mitsuru Miyamoto|Kazuhiro Yamaji|Shigeru Chiba|Hiroshi Yanaka|GinzÙ Matsuo|Takashi Matsuyama
742::Thinner::Thinner::1996::Robert John Burke|Lucinda Jenney|Bethany Joy Lenz|Time Winters|Howard Erskine|Joe Mantegna|Terrence Garmey|Randy Jurgensen|Jeff Ware|Antonette Schwartzberg|Terence Kava|Kari Wuhrer|Adriana Delphine|Ruth Miller|Walter Bobbie
743::Spy Hard::Spy Hard::1996::Leslie Nielsen|Nicollette Sheridan|Charles Durning|Marcia Gay Harden|Barry Bostwick|John Ales|Andy Griffith|Elya Baskin|Mason Gamble|Carlos Lauchu|Stephanie Romanov|Joyce Brothers|Ray Charles|Hulk Hogan|Roger Clinton
744::Brothers in Trouble::Brothers in Trouble::1995::Om Puri|Pavan Malhotra|Angeline Ball|Ace Bhatti|Bhasker Patel|Pravesh Kumar|Badi Uzzaman|Harmage Singh Kalirai|Kumall Grewal|Marc Anwar|Pal Aron|Shiv Grewal|Lesley Clare O'Neill|Kulvinder Ghir|Riz Abbasi
745::"Close Shave, A"::"Close Shave, A "::1995::Peter Sallis|Anne Reid
746::Force of Evil::Force of Evil::1948::John Garfield|Thomas Gomez|Marie Windsor|Howland Chamberlain|Roy Roberts|Paul Fix|Stanley Prager|Barry Kelley|Paul McVey|Beatrice Pearson
747::"Stupids, The"::"Stupids, The "::1996::Tom Arnold|Jessica Lundy|Bug Hall|Alex McKenna|Mark Metcalf|Matt Keeslar|Scott Kraft|Victor Ertmanis|Earl Williams|George Chiang|Max Landis|Carol Ng|Arthur Eng|Jennifer Dean|Garry Robbins
748::"Arrival, The"::"Arrival, The "::1996::Charlie Sheen|Lindsay Crouse|Richard Schiff|Shane|Ron Silver|Teri Polo|Phyllis Applegate|Alan Coates|Leon Rippy|Buddy Joe Hooker|Javier Morga|Tony T. Johnson|Catalina Botello|Georg Lillitsch|David Villalpando
749::"Man from Down Under, The"::"Man from Down Under, The "::1943::Charles Laughton|Binnie Barnes|Richard Carlson|Donna Reed|Christopher Severn|Clyde Cook|Stephen McNally|Arthur Shields|Evelyn Falke|Hobart Cavanaugh|AndrÈ Charlot|
750::Dr. Strangelove or::Dr. Strangelove or:: How I Learned to Stop Worrying and Love the Bomb::1963::John Garfield|Thomas Gomez|Marie Windsor|Howland Chamberlain|Roy Roberts|Paul Fix|Stanley Prager|Barry Kelley|Paul McVey|Beatrice Pearson
751::Careful::Careful::1992::Kyle McCulloch|Gosia Dobrowolska|Sarah Neville|Brent Neale|Paul Cox|Victor Cowie|Michael O'Sullivan|Vince Rimmer|Katya Gardner|Jackie Burroughs|Ross McMillan|Leith Clark|Glen Hubich|Brendan Carruthers|George Toles
752::Vermont Is For Lovers::Vermont Is For Lovers::1992::George Thrush|Marya Cohn|Ann O'Brien|Euclid Farnham|Ann Milliman|Jeramiah Mullen|
753::"Month by the Lake, A"::"Month by the Lake, A "::1995::Vanessa Redgrave|Edward Fox|Uma Thurman|Alida Valli|Carlo Cartier|Alessandro Gassmann|Natalia Bizzi|Frances Nacman|Paolo Lombardi|Riccardo Rossi|Sonia Martinelli|Veronica Wells|Carlotta Bresciani|Bianca Tognocchi|
754::Gold Diggers::Gold Diggers:: The Secret of Bear Mountain::1995::Christina Ricci|Anna Chlumsky|Polly Draper|Brian Kerwin|Diana Scarwid|David Keith|Gillian Barber|Ashleigh Aston Moore|Jewel Staite|Amy Kirk|Dwight McFee|Andrew Wheeler|Roger Cross|Kimberley Warnat|Jesse Moss|Scott Augustine|Steve Makaj|Betty Phillips|Jay Brazeau|Dustin Brooks|Philip Josef|Jennifer Hale
755::Kim::Kim::195::Errol Flynn|Dean Stockwell|Paul Lukas|Robert Douglas|Thomas Gomez|Cecil Kellaway|Arnold Moss|Reginald Owen|Laurette Luez|Richard Hale|Roman Toporow|Ivan Triesault
756::Carmen Miranda::Carmen Miranda:: Bananas Is My Business::1994::Cynthia Adler|Eric Barreto|Mario Cunha|Alice Faye|Aurora Miranda|Carmen Miranda|Leticia Monte|Rita Moreno|Cesar Romero|Synval Silva|Helena Solberg|
757::Ashes of Time::Ashes of Time::1994::Brigitte Lin|Leslie Cheung|Maggie Cheung|Tony Chiu-Wai Leung|Jacky Cheung|Tony Ka Fai Leung|Li Bai|Carina Lau|Charlie Yeung
758::The Jar::"Jar, The (Khomreh) "::1992::Behzad Khodaveisi|Fatemeh Azrah|Abbas Khavaninzadeh|
759::Maya Lin::Maya Lin:: A Strong Clear Vision::1994::Maya Lin
760::Stalingrad::Stalingrad::1993::Alicia Silverstone|Kevin Dillon|Bill Nunn|Michael Bowen|Ann Devaney|Joshua Schaefer|Marla Sokoloff|Jennifer Savidge|Tara Subkoff|David Packer|Alissa Dowdy|Aimee Brooks|Brian Wankum|Melissa DeLizia|Tiombe Lockhart
761::"Phantom, The"::"Phantom, The "::1996::Michael J. Fox|Trini Alvarado|Peter Dobson|John Astin|Jeffrey Combs|Dee Wallace|Jake Busey|Chi McBride|Jim Fyfe|Troy Evans|Julianna McCarthy|R. Lee Ermey|Elizabeth Hawthorne|Angela Bloomfield|Desmond Kelly
762::Striptease::Striptease::1996::Will Smith|Bill Pullman|Jeff Goldblum|Mary McDonnell|Judd Hirsch|Robert Loggia|Randy Quaid|Margaret Colin|James Rebhorn|Harvey Fierstein|Adam Baldwin|Brent Spiner|James Duval|Vivica A. Fox|Lisa Jakub
763::The Last of the High Kings::"Last of the High Kings, The (a.k.a. Summer Fling) "::1996::Catherine O'Hara|Jared Leto|Christina Ricci|Gabriel Byrne|Stephen Rea|Colm Meaney|Lorraine Pilkington|Jason Barry|Emily Mortimer|Karl Hayden|Ciar·n Fitzgerald|Renee Weldon|Des Braiden|Darren Monks|Peter Keating|Alexandra Haughey|Vincent Walsh|Kevin Russell|Lisa Russell|Mal Whyte|Kay Creighton|Gabriel Brady|Clodagh Reid|Emma Stewart|Don Wycherley|Amanda Shun|Joe Savino|Jack Lynch|Mark O'Regan|Oliver Maguire|Graham Wilkinson|Luke Hayden|
764::Heavy::Heavy::1995::Pruitt Taylor Vince|Shelley Winters|Liv Tyler|Debbie Harry|Joe Grifasi|Evan Dando|David Patrick Kelly|Marian Quinn|Meg Hartig|Zandy Hartig|Peter Ortel|George Alvarez|Cordis Heard|J.C. MacKenzie|Allan D'Arcangelo
765::Jack::Jack::1996::Robin Williams|Diane Lane|Brian Kerwin|Jennifer Lopez|Bill Cosby|Fran Drescher|Adam Zolotin|Todd Bosley|Seth Smith|Mario Yedidia|Jer Adrianne Lelliott|Jurnee Smollett-Bell|Dani Faith|Hugo Hernandez|Rickey D'Shon Collins
766::I Shot Andy Warhol::I Shot Andy Warhol::1996::Lili Taylor|Jared Harris|Martha Plimpton|Lothaire Bluteau|Anna Levine|Peter Friedman|Tahnee Welch|Jamie Harrold|Donovan Leitch Jr.|Michael Imperioli|Reg Rogers|Bill Sage|Jill Hennessy|Coco McPherson|Myriam Cyr
767::"Grass Harp, The"::"Grass Harp, The "::1995::Piper Laurie|Sissy Spacek|Walter Matthau|Edward Furlong|Nell Carter|Jack Lemmon|Mary Steenburgen|Sean Patrick Flanery|Joe Don Baker|Charles Durning|Roddy McDowall|Grayson Fricke|Scott Wilson|Bonnie Bartlett|Mia Kirshner
768::Someone Else's America::Someone Else's America::1995::Tom Conti|Predrag 'Miki' Manojlovic|MarÌa Casares|Zorka Manojlovic|Sergej Trifunovic|JosÈ RamÛn Rosario|Lanny Flaherty|Mihalis Giannatos|Michael Willis|Predrag Ejdus|Chia-Ching Niu|Andjela Stojkovic|Lazar Kalmic|Ananda Ellis|John Norman Thomas
769::Marlene Dietrich::Marlene Dietrich:: Shadow and Light::1996::Marlene Dietrich|Maria Riva|David Riva|Steven Bach|Molly Haskell|Richard Todd|James Stewart|Buck Dawson|Glynis Johns|Elaine Stritch|Stan Freeman|Billy Wilder
770::Costa Brava::Costa Brava::1946::Arturo C·mara|Silvia Morgan|Juan MuÒiz|Alfonso MuÒoz|Julia Pachelo|Manuel Santigosa|JosÈ VivÛ|JosÈ Zaro|
771::La Vie est belle::"Vie est belle, La (Life is Rosey) "::1987::None
772::Quartier Mozart::Quartier Mozart::1992::Pauline Andela|Jimmy Biyona|Essindi Mindja|Sandrine Ola'a
773::Touki Bouki::Touki Bouki (Journey of the Hyena)::1973::Magaye Niang|Myriam Niang|Aminata Fall|Ousseynou Diop|Josephine Baker|Christoph Colomb|Ndou Labia|Mustapha Ture|
774::Wend Kuuni::Wend Kuuni (God's Gift)::1982::Serge Yanogo|Rosine Yanogo|Joseph Nikiema|Colette KaborÈ|Simone Tapsoba|Yaya Wima|Martine Ouedraogo|Boucare Ouedraogo|Mohammed Thiombiano|Jean Ouedraogo|Augustine Yameogo|Naba Liguidi|Bernadette Nombre|Saidou Ouedraogo|Georgette Zongo
775::Spirits of the Dead::Spirits of the Dead (Tre Passi nel Delirio)::1968::Brigitte Bardot|Alain Delon|Jane Fonda|Terence Stamp|James Robertson Justice|Salvo Randone|FranÁoise PrÈvost|Peter Fonda|MarlËne Alexandre|David Bresson|Katia Christine|Peter Dane|Georges Douking|Philippe Lemaire|Carla Marlier
776::Babyfever::Babyfever::1994::Victoria Foyt|Matt Salinger|Frances Fisher|Eric Roberts|Dinah Lenney|Elaine Kagan|Zack Norman|Jacki Moen|Eliza Roberts|Charlayne Woodard|Irene Cagen|Cindy Friedl|Jane Lancellotti|Deborah Skelly|Tracy Brooks Swope
777::Pharaoh's Army::Pharaoh's Army::1995::Chris Cooper|Patricia Clarkson|Kris Kristofferson|Robert Joy|Richard Tyson|Frank Clem|Huckleberry Fox|Will Lucas|Mac Miles|Robert P. Sampson Jr.|Maude Mitchell|Rebecca Ryland|Scott Coffman|Gale Wilson|Stacie Coffman
778::Trainspotting::Trainspotting::1996::Ewan McGregor|Ewen Bremner|Jonny Lee Miller|Kevin McKidd|Robert Carlyle|Kelly Macdonald|Peter Mullan|James Cosmo|Eileen Nicholas|Susan Vidler|Pauline Lynch|Shirley Henderson|Stuart McQuarrie|Irvine Welsh|Dale Winton
779::'Til There Was You::'Til There Was You::1997::John Plumpis|Janel Moloney|Yvonne Zima|Christine Ebersole|Kellen Fink|Karen Allen|Kale Browne|Michael Tucker|Alexandra Theriault|Kimberly Paige|Jim Jansen|Sean Bolvin|Kenneth Flores|Joette Hayward|Mary Martin|Steven Scott|Andrew Armbruster|Amanda Fuller|Madeline Zima|Joshua Rubin|Jeanne Tripplehorn|Matt Alexander|John Mascaro|Ken Olin|Dylan McDermott|Susan Walters|Jennifer Aniston|Michael Moertl|Kasi Lemmons|Patrick Malahide|Steve Antin|Nina Foch|Reg Rogers|Sarah Jessica Parker|Richard Fancy|Earl Carroll|Ian Gomez|Matt Roth|Karen Mayo-Chandler|Anthony Guidera|Alexa Jago|Alice Drummond|John Hawkes|Jack Kruschen|Danielle Keaton|Julio Oscar Mechoso|Bruce Winant|Cinders|David Clayton Miller|Tiffany Paulsen|William Utay|William Forward|Craig Bierko|David Elliott|Kelli McCarty|Annabelle Gurwitch|Marina Malota Darling
780::Independence Day::Independence Day (ID4)::1996::Jim Carrey|Matthew Broderick|Leslie Mann|Jack Black|George Segal|Diane Baker|Ben Stiller|Eric Roberts|Janeane Garofalo|Andy Dick|Harry O'Reilly|David Cross|Amy Stiller|Owen Wilson|Keith Gibbs
781::Stealing Beauty::Stealing Beauty::1996::Carlo Cecchi|SinÈad Cusack|Joseph Fiennes|Jason Flemyng|Anna Maria Gherardi|Jeremy Irons|Jean Marais|Donal McCann|D.W. Moffett|Ignazio Oliva|Stefania Sandrelli|Francesco Siciliano|Mary Jo Sorgani|Leonardo Treviglio|Liv Tyler
782::"Fan, The"::"Fan, The "::1996::Robert De Niro|Wesley Snipes|Ellen Barkin|John Leguizamo|Benicio Del Toro|Patti D'Arbanville|Chris Mulkey|Andrew J. Ferchland|Brandon Hammond|Charles Hallahan|Dan Butler|Kurt Fuller|Michael Jace|Frank Medrano|Don S. Davis
783::"Hunchback of Notre Dame, The"::"Hunchback of Notre Dame, The "::1996::Jason Alexander|Mary Kay Bergman|Corey Burton|Jim Cummings|Bill Fagerbakke|Tom Hulce|Tony Jay|Paul Kandel|Charles Kimbrough|Kevin Kline|Heidi Mollenhauer|Demi Moore|Patrick Pinney|Gary Trousdale|David Ogden Stiers
784::"Cable Guy, The"::"Cable Guy, The "::1996::Michael J. Fox|Trini Alvarado|Peter Dobson|John Astin|Jeffrey Combs|Dee Wallace|Jake Busey|Chi McBride|Jim Fyfe|Troy Evans|Julianna McCarthy|R. Lee Ermey|Elizabeth Hawthorne|Angela Bloomfield|Desmond Kelly
785::Kingpin::Kingpin::1996::Woody Harrelson|Randy Quaid|Vanessa Angel|Bill Murray|Chris Elliott|William Jordan|Richard Tyson|Lin Shaye|Zen Gesner|Prudence Wright Holmes|Rob Moran|Daniel Greene|Will Rothhaar|Mark Charpentier|Brad Faxon
786::Eraser::Eraser::1996::Arnold Schwarzenegger|James Caan|Vanessa Williams|James Coburn|Robert Pastorelli|James Cromwell|Danny Nucci|Andy Romano|Nick Chinlund|Michael Papajohn|Joe Viterelli|Mark Rolston|John Slattery|Robert Miranda|Roma Maffia
787::"Gate of Heavenly Peace, The"::"Gate of Heavenly Peace, The "::1995::Deborah Amos|Carma Hinton|Edward Stanley|
788::"Nutty Professor, The"::"Nutty Professor, The "::1996::Eddie Murphy|Jada Pinkett Smith|James Coburn|Larry Miller|Dave Chappelle|John Ales|Patricia Wilson|Jamal Mixon|Nichole McAuley|Hamilton von Watts|Chao Li Chi|Tony Carlin|Quinn Duffy|Montell Jordan|Doug Williams
789::"I, Worst of All"::"I, Worst of All (Yo, la peor de todas) "::199::Assumpta Serna|Dominique Sanda|HÈctor Alterio|Lautaro Mur˙a|Graciela Araujo|Alberto Segado|Gerardo Romano|Franklin Caicedo|Hugo Soto|Margara Alonso|Lidia Catalano|Margarita PadÌn|Alejandra Colunga|Rosario BlÈfari|Felisa Rocha
790::An Unforgettable Summer::An Unforgettable Summer::1994::Kristin Scott Thomas|Claudiu Bleont|Olga Tudorache|George Constantin|Ion Pavlescu|Marcel Iures|Razvan Vasilescu|Cornel Scripcaru|Tamara Cretulescu|Carmen Ungureanu|Mihai Constantin|Ioan Gyuri Pascu|Dragos PÓslaru|Dorina Lazar|Beatha F¸lop
791::Last Klezmer::Last Klezmer::" Leopold Kozlowski, His Life and Music, The "::1995::Leopold Kozlowski
792::"Hungarian Fairy Tale, A"::"Hungarian Fairy Tale, A "::1987::D·vid Vermes|P·l HetÈnyi|Frantisek Hus·k|M·ria Varga|Eszter Cs·k·nyi|PÈter Trok·n|Szilvia TÛth|Judit Pog·ny|GÈza Balkay|G·bor Reviczky|Joli J·szai|…va Babai|Margit Bal·k|Jutta Bokor|Csaba Csikesz
793::My Life and Times With Antonin Artaud::My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud)::1993::Sami Frey|Marc BarbÈ|Julie JÈzÈquel|ValÈrie Jeannet|Clotilde de Bayser|Charlotte Valandrey|Anne Barbe|Philippe Baille|Philippe Beaufort|Alain Boissard|Jean-Marcel Bouguereau|Renee Cariven|Catherine CarrÈe|Jean-Yves CarrÈe|Jean-Marie Catonne
794::Midnight Dancers::Midnight Dancers (Sibak)::1994::Alex Del Rosario|Gandong Cervantes|Lawrence David|Luis Cortes|Richard Cassity|Danny Ramos|John Mendoza|Leonard Manalansan|Perla Bautista|Ryan Aristorenas|Soxy Topacio|Gino Paul Guzman|Maureen Mauricio|Jeffrey Suarez|Ray Ventura
795::Somebody to Love::Somebody to Love::1994::Rosie Perez|Harvey Keitel|Anthony Quinn|Michael DeLorenzo|Steve Buscemi|Stanley Tucci|Gerardo MejÌa|Steven Randazzo|Paul Herman|Samuel Fuller|Helena|Elizabeth Bracco|Angel Aviles|Lorelei Leslie|Julie Shannon
796::"Very Natural Thing, A"::"Very Natural Thing, A "::1974::Robert McLane|Curt Gareth|Bo White|Anthony McKay|Marilyn Meyers|Jay Pierce|Barnaby Rudge|A. Bailey Chapin|Scott Eisman|Michael Kell|Sheila Rock|Linda Weitz|Robert Grillo|Howard Blakey|George Diaz
797::"Old Lady Who Walked in the Sea, The"::"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) "::1991::Jeanne Moreau|Michel Serrault|Luc Thuillier|GÈraldine Danon|Jean Bouchaud|Marie DÙ|Hester Wilcox|LÈa Gabriele|Lara Guirao|Mattia Sbragia|Francis Renaud|Daniel VÈritÈ|Satbyadevi F. Ralingam|Sushma Unnikrishnam|Gilles Rousseau
798::Daylight::Daylight::1996::Sylvester Stallone|Amy Brenneman|Viggo Mortensen|Dan Hedaya|Jay O. Sanders|Karen Young|Claire Bloom|Vanessa Bell Calloway|Renoly Santiago|Colin Fox|Danielle Harris|Trina McGee|Marcello Thedford|Sage Stallone|Jo Anderson
799::"Frighteners, The"::"Frighteners, The "::1996::Stephen Mendillo|Stephen J. Lang|Chris Cooper|Elizabeth PeÒa|Oni Faida Lampley|Eleese Lester|Joe Stevens|Gonzalo Castillo|Richard Coca|Clifton James|Tony Frank|Miriam Colon|Kris Kristofferson|Jeff Monahan|Matthew McConaughey
800::Lone Star::Lone Star::1996::John Travolta|Kyra Sedgwick|Forest Whitaker|Robert Duvall|Jeffrey DeMunn|Richard Kiley|David Gallagher|Ashley Buccille|Tony Genaro|Sean O'Bryan|Michael Milhoan|Troy Evans|Bruce A. Young|Vyto Ruginis|Brent Spiner
801::Harriet the Spy::Harriet the Spy::1996::Michelle Trachtenberg|Gregory Smith|Vanessa Chester|Rosie O'Donnell|J. Smith-Cameron|Robert Joy|Eartha Kitt|Charlotte Sullivan|Teisha Kim|Cecilley Carroll|Dov Tiefenbach|Nina Shock|Conor Devitt|Alisha Morrison|Nancy Beatty
802::Phenomenon::Phenomenon::1996::Alison Elliott|Ellen Burstyn|Marcia Gay Harden|Will Patton|Kieran Mulroney|Gailard Sartain|John M. Jackson|Louise De Cormier|Ida Griesemer|Lincoln Grow|Emerson Grow|Sam Lloyd Sr.|Lisa Louise Langford|Forrest Murray|Patty Smith
803::Walking and Talking::Walking and Talking::1996::Amy Braverman|Miranda Rhyne|Catherine Keener|Anne Heche|Randall Batinkoff|Brenda Denmark|Vincent Pastore|Liev Schreiber|Todd Field|Kevin Corrigan|Joseph Siravo|Rafael Alvarez|Ritamarie Kelly|Steve Cohen|Jordan Levinson
804::She's the One::She's the One::1996::John Mahoney|Edward Burns|Michael McGlone|Maxine Bahns|Jennifer Aniston|Cameron Diaz|Malachy McCourt|Leslie Mann|Amanda Peet|Anita Gillette|Frank Vincent|Beatrice Winde|Eugene Osborne Smith|Robert Weil|Tom Tammi
805::"Time to Kill, A"::"Time to Kill, A "::1996::Matthew McConaughey|Sandra Bullock|Samuel L. Jackson|Kevin Spacey|Oliver Platt|Charles S. Dutton|Brenda Fricker|Donald Sutherland|Kiefer Sutherland|Patrick McGoohan|Ashley Judd|Tonea Stewart|RaÈVen Kelly|Darrin Mitchell|LaConte McGrew
806::American Buffalo::American Buffalo::1996::Dustin Hoffman|Dennis Franz|Sean Nelson|
807::Rendezvous in Paris::"Rendezvous in Paris (Rendez-vous de Paris, Les) "::1995::Clara Bellar|Antoine Basler|Mathias MÈgard|Judith Chancel|Malcolm Conrath|CÈcile ParËs|Olivier Poujol|Aurore Rauscher|Serge Renko|Michael Kraft|BÈnÈdicte Loyen|Veronika Johansson|Florence Levu|Christian Bassoul|
808::Alaska::Alaska::1996::Thora Birch|Vincent Kartheiser|Dirk Benedict|Charlton Heston|Duncan Fraser|Gordon Tootoosis|Ben Cardinal|Ryan Kent|Don S. Davis|Dolly Madsen|Stephen E. Miller|Byron Chief-Moon|Kristin Lehman|Adrien Dorval|Ed Gale
809::Fled::Fled::1996::Laurence Fishburne|Stephen Baldwin|Will Patton|Robert John Burke|Robert Hooks|Victor Rivers|David Dukes|Ken Jenkins|Michael Nader|Brittney Powell|Salma Hayek|Steve Carlisle|Brett Rice|J. Don Ferguson|Kathy Payne
810::Kazaam::Kazaam::1996::Shaquille O'Neal|Francis Capra|Ally Walker|James Acheson|John Costelloe|Marshall Manesh|Fawn Reed|Mother Love|Brandon Durand|Wade Robson|Jake Glaser|Efren Ramirez|Jonathan Carrasco|Jesse Perez|Todd Sible|Juan Gabriel Reynoso|Said Faraj|Randall Bosley|Steven Barr|Spinderella|Kashi Barrett|Eboni Parson|Iris Burruss|Da Brat|Nicole Jackson|Altameza Reeves|Sandra Chriss|Shana Mangatal|Davidson King|Deborah Rennard|Kelly Duncan-Joiner|Bob Clendenin|Eugene McCarthy|Jeffrey Paul Johnson|Brad Wilson|Miguel Escobar|Hector Jimenez|Michael Wajacs|Rory Leidelmeyer|Charles Edward Bennett|Larry Clardy
