400::Batman::Michael Keaton|Jack Nicholson|Kim Basinger|Robert Wuhl|Pat Hingle|Billy Dee Williams|Michael Gough|Jack Palance|Jerry Hall|Tracey Walter|Lee Wallace|William Hootkins|Richard Strange|Carl Chase|Mac McDonald
401::Pinocchio::Mel Blanc|Don Brodie|Stuart Buchanan|Walter Catlett|Marion Darlington|Frankie Darro|Cliff Edwards|Dickie Jones|Charles Judels|John McLeish|Patricia Page|Christian Rub|Evelyn Venable
402::Mission: Impossible::Tom Cruise|Jon Voight|Emmanuelle Béart|Henry Czerny|Jean Reno|Ving Rhames|Kristin Scott Thomas|Vanessa Redgrave|Ingeborga Dapkunaite|Valentina Yakunina|Marek Vasut|Nathan Osgood|John McLaughlin|Rolf Saxon|Karel Dobrý
403::Thinner::Robert John Burke|Lucinda Jenney|Bethany Joy Lenz|Time Winters|Howard Erskine|Joe Mantegna|Terrence Garmey|Randy Jurgensen|Jeff Ware|Antonette Schwartzberg|Terence Kava|Kari Wuhrer|Adriana Delphine|Ruth Miller|Walter Bobbie
404::Spy Hard::Leslie Nielsen|Nicollette Sheridan|Charles Durning|Marcia Gay Harden|Barry Bostwick|John Ales|Andy Griffith|Elya Baskin|Mason Gamble|Carlos Lauchu|Stephanie Romanov|Joyce Brothers|Ray Charles|Hulk Hogan|Roger Clinton
405::Close Shave, A::Peter Sallis|Anne Reid
406::Jack::Robin Williams|Diane Lane|Brian Kerwin|Jennifer Lopez|Bill Cosby|Fran Drescher|Adam Zolotin|Todd Bosley|Seth Smith|Mario Yedidia|Jer Adrianne Lelliott|Jurnee Smollett-Bell|Dani Faith|Hugo Hernandez|Rickey D'Shon Collins
407::Kingpin::Woody Harrelson|Randy Quaid|Vanessa Angel|Bill Murray|Chris Elliott|William Jordan|Richard Tyson|Lin Shaye|Zen Gesner|Prudence Wright Holmes|Rob Moran|Daniel Greene|Will Rothhaar|Mark Charpentier|Brad Faxon
408::Nutty Professor, The::Eddie Murphy|Jada Pinkett Smith|James Coburn|Larry Miller|Dave Chappelle|John Ales|Patricia Wilson|Jamal Mixon|Nichole McAuley|Hamilton von Watts|Chao Li Chi|Tony Carlin|Quinn Duffy|Montell Jordan|Doug Williams
409::Very Brady Sequel, A::Shelley Long|Gary Cole|Christopher Daniel Barnes|Christine Taylor|Paul Sutera|Jennifer Elise Cox|Jesse Lee Soffer|Olivia Hack|Henriette Mantel|Tim Matheson|Whip Hubley|Whitney Rydbeck|Sue Casey|Gregory White|RuPaul
410::Tales from the Crypt Presents: Bordello of Blood::John Kassir|Dennis Miller|Erika Eleniak|Angie Everhart|Chris Sarandon|Corey Feldman|Aubrey Morris|Phil Fondacaro|William Sadler|Kiara Hunter|Leslie Ann Phillips|Juliet Reagh|Eli Gabay|Matt Hill|Eric Keenleyside
411::My Favorite Year::Peter O'Toole|Mark Linn-Baker|Jessica Harper|Joseph Bologna|Bill Macy|Lainie Kazan|Anne De Salvo|Basil Hoffman|Lou Jacobi|Adolph Green|Tony DiBenedetto|George Wyner|Selma Diamond|Cameron Mitchell|Jenny Neumann
412::Apple Dumpling Gang, The::Bill Bixby|Susan Clark|Don Knotts|Tim Conway|David Wayne|Slim Pickens|Harry Morgan|John McGiver|Don Knight|Clay O'Brien|Brad Savage|Stacy Manning|Dennis Fimple|Pepe Callahan|Iris Adrian
413::Old Yeller::Dorothy McGuire|Fess Parker|Jeff York|Chuck Connors|Beverly Washburn|Tommy Kirk|Kevin Corcoran|
414::Parent Trap, The::Hayley Mills|Maureen O'Hara|Brian Keith|Charles Ruggles|Una Merkel|Leo G. Carroll|Joanna Barnes|Cathleen Nesbitt|Ruth McDevitt|Crahan Denton|Linda Watkins|Nancy Kulp|Frank De Vol
415::Cinderella::Ilene Woods|Eleanor Audley|Verna Felton|Claire Du Brey|Rhoda Williams|James MacDonald|Helene Stanley|Luis Van Rooten|Don Barclay|Lucille Bliss|Jeffrey Stone|Mike Douglas|William Phipps|Marion Darlington|Earl Keen
416::Mary Poppins::Julie Andrews|Dick Van Dyke|David Tomlinson|Glynis Johns|Hermione Baddeley|Reta Shaw|Karen Dotrice|Matthew Garber|Elsa Lanchester|Arthur Treacher|Reginald Owen|Ed Wynn|Jane Darwell|Arthur Malet|James Logan
417::Alice in Wonderland::Kathryn Beaumont|Ed Wynn|Richard Haydn|Sterling Holloway|Jerry Colonna|Verna Felton|J. Pat O'Malley|Bill Thompson|Heather Angel|Joseph Kearns|Larry Grey|Queenie Leonard|Dink Trout|Doris Lloyd|James MacDonald
418::William Shakespeare's Romeo and Juliet::Leonardo DiCaprio|Claire Danes|John Leguizamo|Harold Perrineau|Pete Postlethwaite|Paul Sorvino|Brian Dennehy|Paul Rudd|Vondie Curtis-Hall|Miriam Margolyes|Jesse Bradford|M. Emmet Walsh|Zak Orth|Jamie Kennedy|Dash Mihok
419::Aladdin and the King of Thieves::Val Bettin|Jim Cummings|Gilbert Gottfried|Linda Larkin|Jerry Orbach|John Rhys-Davies|Scott Weinger|Frank Welker|Robin Williams|Jeff Bennett|Corey Burton|Jess Harnell|Clyde Kusatsu|Rob Paulsen|CCH Pounder
420::E.T. the Extra-Terrestrial::Dee Wallace|Henry Thomas|Peter Coyote|Robert MacNaughton|Drew Barrymore|K.C. Martel|Sean Frye|C. Thomas Howell|Erika Eleniak|David M. O'Dell|Richard Swingler|Frank Toth|Robert Barton|Michael Darrell|David Berkson
421::Children of the Corn: The Gathering::Naomi Watts|Jamie Renée Smith|Karen Black|Mark Salling|Brent Jennings|Toni Marsh|Lewis Flanagan III|Brandon Kleyla|William Windom|Salle Ellis|Marietta Marich|Jonathan Patterson|Joshua Patterson|Kay Bower|Samaria Graham
422::Bob Roberts::Tim Robbins|Giancarlo Esposito|Alan Rickman|Ray Wise|Brian Murray|Gore Vidal|Rebecca Jenkins|Harry Lennix|John Ottavino|Robert Stanton|Kelly Willis|Merrilee Dale|Tom Atkins|David Strathairn|James Spader
423::Transformers: The Movie, The::Norman Alden|Jack Angel|Michael Bell|Gregg Berger|Susan Blu|Arthur Burghardt|Corey Burton|Roger C. Carmel|Victor Caroli|Regis Cordic|Peter Cullen|Scatman Crothers|Bud Davis|Walker Edmiston|Paul Eiding
424::To Kill a Mockingbird::Gregory Peck|John Megna|Frank Overton|Rosemary Murphy|Ruth White|Brock Peters|Estelle Evans|Paul Fix|Collin Wilcox Paxton|James Anderson|Alice Ghostley|Robert Duvall|William Windom|Crahan Denton|Richard Hale
425::Harold and Maude::Ruth Gordon|Bud Cort|Vivian Pickles|Cyril Cusack|Charles Tyner|Ellen Geer|Eric Christmas|G. Wood|Judy Engles|Shari Summers|Tom Skerritt|Susan Madigan|Ray K. Goman|Gordon De Vol|Harvey Brumfield
426::Day the Earth Stood Still, The::Michael Rennie|Patricia Neal|Hugh Marlowe|Sam Jaffe|Billy Gray|Frances Bavier|Lock Martin
427::Duck Soup::The Marx Brothers|Groucho Marx|Harpo Marx|Chico Marx|Zeppo Marx|Margaret Dumont|Raquel Torres|Louis Calhern|Edmund Breese|Leonid Kinskey|Charles Middleton|Edgar Kennedy
428::Highlander::Christopher Lambert|Roxanne Hart|Clancy Brown|Sean Connery|Beatie Edney|Alan North|Sheila Gish|Jon Polito|Hugh Quarshie|Christopher Malcolm|Peter Diamond|Billy Hartman|James Cosmo|Celia Imrie|Alistair Findlay
429::Fantasia::Leopold Stokowski|Deems Taylor
430::Heathers::Tony Danza|Judith Light|Alyssa Milano|Danny Pintauro|Katherine Helmond|Sam McMurray|Leah Ayres|Heather Tom
431::Forbidden Planet::Walter Pidgeon|Anne Francis|Leslie Nielsen|Warren Stevens|Jack Kelly|Richard Anderson|Earl Holliman|George Wallace|Robert Dix|Jimmy Thompson|James Drury|Harry Harvey Jr.|Roger McGee|Peter Miller|Morgan Jones
432::Butch Cassidy and the Sundance Kid::Paul Newman|Robert Redford|Katharine Ross|Strother Martin|Henry Jones|Jeff Corey|George Furth|Cloris Leachman|Ted Cassidy|Kenneth Mars|Donnelly Rhodes|Jody Gilbert|Timothy Scott|Don Keefer|Charles Dierkop
433::American Werewolf in London, An::Joe Belcher|David Naughton|Griffin Dunne|David Schofield|Brian Glover|Lila Kaye|Rik Mayall|Sean Baker|Paddy Ryan|Jenny Agutter|Anne-Marie Davies|John Woodvine|Frank Oz|Don McKillop|Paul Kember
434::Amityville 1992: It's About Time::Stephen Macht|Shawn Weatherly|Megan Ward|Damon Martin|Jonathan Penner|Nita Talbot|Dean Cochran|Terrie Snell|Kevin Bourland|Margarita Franco|William Jackson|Willie C. Carpenter|Dick Miller|Alan Berman|Dylan Milo
435::Amityville 3-D::Tony Roberts|Tess Harper|Robert Joy|Candy Clark|John Beal|Leora Dana|John Harkins|Lori Loughlin|Meg Ryan|Neill Barry|Peter Kowanko|Frederikke Borge|Carlos Romano|Josefina Echánove|Jorge Zepeda
436::Amityville: A New Generation::Ross Partridge|Julia Nickson|Lala Sloatman|David Naughton|Barbara Howard|Jack Orend|Richard Roundtree|Terry O'Quinn|Robert Rusler|Lin Shaye|Karl Johnson|Ralph Ahn|Tom Wright|Bob Jennings|Jon Paul Steuer
437::Amityville II: The Possession::James Olson|Burt Young|Rutanya Alda|Jack Magner|Andrew Prine|Diane Franklin|Moses Gunn|Ted Ross|Erika Katz|Brent Katz|Leonardo Cimino|Danny Aiello III|Gilbert Stafford|Petra Leah|Alan Dellay
438::Amityville Horror, The::James Olson|Burt Young|Rutanya Alda|Jack Magner|Andrew Prine|Diane Franklin|Moses Gunn|Ted Ross|Erika Katz|Brent Katz|Leonardo Cimino|Danny Aiello III|Gilbert Stafford|Petra Leah|Alan Dellay
439::Amityville Curse, The::Kim Coates|Dawna Wightman|Helen Hughes|David Stein|Anthony Dean Rubes|Cassandra Gava|Jan Rubes|Norris Domingue|Scott Yaphe|Mark Camacho|Tyrone Benskin|Ali Giron|Griffith Brewer|Ted A. Bohus
440::Birds, The::Kieran Fallon|Antonio Piluso|James Rolfe|Justin Silverman
441::Blob, The::Steve McQueen|Aneta Corsaut|Earl Rowe|Olin Howland|Stephen Chase|John Benson|George Karas|Lee Payton|Elbert Smith|Hugh Graham|Vincent Barbi|Audrey Metcalf|Jasper Deeter|Tom Ogden|Elinor Hammer
442::Body Snatcher, The::Boris Karloff|Bela Lugosi|Henry Daniell|Edith Atwater|Russell Wade|Rita Corday|Sharyn Moffett|Donna Lee
443::Burnt Offerings::Karen Black|Oliver Reed|Burgess Meredith|Eileen Heckart|Lee Montgomery|Dub Taylor|Bette Davis|Joseph Riley|Todd Turquand|Orin Cannon|Jim Myers|Anthony James
444::Carrie::Sissy Spacek|Piper Laurie|Amy Irving|William Katt|John Travolta|Nancy Allen|Betty Buckley|P.J. Soles|Priscilla Pointer|Sydney Lassick|Stefan Gierasch|Michael Talbott|Doug Cox|Harry Gold|Noelle North
445::Omen, The::Gregory Peck|Lee Remick|David Warner|Billie Whitelaw|Harvey Stephens|Patrick Troughton|Martin Benson|Robert Rietty|Tommy Duggan|John Stride|Anthony Nicholls|Holly Palance|Roy Boyd|Freda Dowie|Sheila Raynor
446::Star Trek: The Motion Picture::William Shatner|Leonard Nimoy|DeForest Kelley|James Doohan|George Takei|Majel Barrett|Walter Koenig|Nichelle Nichols|Persis Khambatta|Stephen Collins|Grace Lee Whitney|Mark Lenard|Billy Van Zandt|Roger Aaron Brown
447::Star Trek V: The Final Frontier::William Shatner|Leonard Nimoy|DeForest Kelley|James Doohan|Walter Koenig|Nichelle Nichols|George Takei|David Warner|Laurence Luckinbill|Charles Cooper|Cynthia Gouw|Todd Bryant|Spice Williams-Crosby|Rex Holman|George Murdock
448::Grease::John Travolta|Olivia Newton-John|Stockard Channing|Jeff Conaway|Barry Pearl|Michael Tucci|Kelly Ward|Didi Conn|Jamie Donnelly|Dinah Manoff|Eve Arden|Frankie Avalon|Joan Blondell|Edd Byrnes|Sid Caesar
449::Jaws 2::Roy Scheider|Lorraine Gary|Murray Hamilton|Joseph Mascolo|Jeffrey Kramer|Collin Wilcox Paxton|Ann Dusenberry|Mark Gruner|Barry Coe|Susan French|Gary Springer|Donna Wilkes|Gary Dubin|John Dukakis|G. Thomas Dunlop
450::Jaws 3-D::Dennis Quaid|Bess Armstrong|Simon MacCorkindale|Louis Gossett Jr.|John Putch|Lea Thompson|P.H. Moriarty|Dan Blasko|Liz Morris|Lisa Maurer|Harry Grant|Andy Hansen|P.T. Horn|John Edson|Kaye Stevens
451::Bastard Out of Carolina::Jennifer Jason Leigh|Ron Eldard|Glenne Headly|Lyle Lovett|Jena Malone|Dermot Mulroney|Christina Ricci|Michael Rooker|Diana Scarwid|Susan Traylor|Grace Zabriskie|Richard Todd Sullivan|Pat Hingle|Lindley Mayer|Jamison Stewart
452::Jackie Chan's First Strike::Jackie Chan|Jackson Lou|Annie Wu|Bill Tung|Yuriy Petrov|Nonna Grishaeva|John Eaves|Terry Woo|Kristopher Kazmarek|Ailen Sit|Man-Ching Chan|Rocky Lai|Wai-To Chan|Brett Arthur|Mark French
453::Beverly Hills Ninja::Chris Farley|Nicollette Sheridan|Robin Shou|Nathaniel Parker|Soon-Tek Oh|Keith Cooke|Chris Rock|François Chau|Dale Ishimoto|Daming Chen|Burt Bulos|Curtis Blanck|Tom Bailey|Jason Tobin|Richard Kline
454::Free Willy 3: The Rescue::Jason James Richter|August Schellenberg|Annie Corley|Vincent Berry|Patrick Kilpatrick|Tasha Simms|Peter LaCroix|Stephen E. Miller|Ian Tracey|Matthew Walker|Roger Cross|Rick Burgess|Roman Danylo
455::Nixon::Anthony Hopkins|Joan Allen|Powers Boothe|Ed Harris|Bob Hoskins|E.G. Marshall|David Paymer|David Hyde Pierce|Paul Sorvino|Mary Steenburgen|J.T. Walsh|James Woods|Brian Bedford|Kevin Dunn|Fyvush Finkel
456::Cry, the Beloved Country::James Earl Jones|Richard Harris|Vusi Kunene|Charles S. Dutton|Tsholofelo Wechoemang|Dolly Rathebe|Ramolao Makhene|Jack Robinson|Jennifer Steyn|Patrick Ndlovu|Darlington Michaels|King Twala|Somizi Mhlongo|Sam Ngakane|John Whiteley
457::Crossing Guard, The::Jack Nicholson|David Morse|Anjelica Huston|Robin Wright|Piper Laurie|Richard Bradford|Priscilla Barnes|David Baerwald|Robbie Robertson|John Savage|Kari Wuhrer|Jennifer Leigh Warren|Kellita Smith|Richard C. Sarafian|Bobby Cooper
458::Smoke::Giancarlo Esposito|José Zúñiga|Stephen Gevedon|Harvey Keitel|Jared Harris|William Hurt|Daniel Auster|Harold Perrineau|Deirdre O'Connell|Victor Argo|Michelle Hurst|Forest Whitaker|Stockard Channing|Vincenzo Amelia|Erica Gimpel
459::Like Water For Chocolate::Marco Leonardi|Lumi Cavazos|Regina Torné|Mario Iván Martínez|Ada Carrasco|Yareli Arizmendi|Claudette Maillé|Pilar Aranda|Farnesio de Bernal|Joaquín Garrido|Rodolfo Arias|Margarita Isabel|Sandra Arau|Andrés García Jr.|Regino Herrera
460::Secret of Roan Inish, The::Jeni Courtney|Pat Slowey|Dave Duffy|Declan Hannigan|Mairéad Ní Ghallchóir|Eugene McHugh|Tony Rubini|Mick Lally|Eileen Colgan|Richard Sheridan|Micheal MacCarthaigh|Fergal McElherron|Brendan Conroy|John Lynch|Frankie McCafferty
461::Vanya on 42nd Street::Phoebe Brand|Lynn Cohen|George Gaynes|Jerry Mayer|Julianne Moore|Larry Pine|Brooke Smith|Wallace Shawn|Andre Gregory|Madhur Jaffrey
462::Jungle Book, The::Jason Scott Lee|Cary Elwes|Lena Headey|Sam Neill|John Cleese|Jason Flemyng|Stefan Kalipha|Ron Donachie|Anirudh Agarwal|Faran Tahir|Sean Naegeli|Joanna Wolff|Liza Walker|Rachel Robertson|Natalie Morse
463::Red Rock West::Nicolas Cage|Craig Reay|Vance Johnson|Robert Apel|Bobby Joe McFadden|J.T. Walsh|Lara Flynn Boyle|Dale Gibson|Ted Parks|Babs Bram|Robert Guajardo|Sarah Sullivan|Timothy Carhart|Dan Shor|Dennis Hopper
464::Bronx Tale, A::Robert De Niro|Chazz Palminteri|Lillo Brancato|Francis Capra|Taral Hicks|Kathrine Narducci|Clem Caserta|Alfred Sauchelli Jr.|Frank Pietrangolare|Joe Pesci|Robert D'Andrea|Eddie Montanaro|Fred Fischer|Dave Salerno|Joseph D'Onofrio
465::Rudy::Sean Astin|Jon Favreau|Ned Beatty|Greta Lind|Scott Benjaminson|Mary Ann Thebus|Charles S. Dutton|Lili Taylor|Christopher Reed|Deborah Wittenberg|Christopher Erwin|Kevin Duda|Robert Benirschke|Luke Massery|Robert J. Steinmiller Jr.
466::Short Cuts::Andie MacDowell|Bruce Davison|Jack Lemmon|Zane Cassidy|Julianne Moore|Matthew Modine|Anne Archer|Fred Ward|Jennifer Jason Leigh|Chris Penn|Joseph C. Hopkins|Josette Maccario|Lili Taylor|Robert Downey Jr.|Madeleine Stowe
467::Tombstone::Kurt Russell|Val Kilmer|Sam Elliott|Bill Paxton|Powers Boothe|Michael Biehn|Charlton Heston|Jason Priestley|Jon Tenney|Stephen Lang|Thomas Haden Church|Dana Delany|Paula Malcomson|Lisa Collins|Dana Wheeler-Nicholson
468::Courage Under Fire::Denzel Washington|Meg Ryan|Lou Diamond Phillips|Michael Moriarty|Matt Damon|Bronson Pinchot|Seth Gilliam|Regina Taylor|Zeljko Ivanek|Scott Glenn|Tim Guinee|Tim Ransom|Sean Astin|Armand Darrius|Mark Adair-Rios
469::Dragonheart::Dennis Quaid|David Thewlis|Pete Postlethwaite|Dina Meyer|Jason Isaacs|Brian Thompson|Lee Oakes|Wolf Christian|Terry O'Neill|Eva Vejmelková|Milan Bahúl|Peter Hric|Sandra Kovacicova|Kyle Cohen|Thom Baker
470::James and the Giant Peach::Simon Callow|Richard Dreyfuss|Jane Leeves|Joanna Lumley|Miriam Margolyes|Pete Postlethwaite|Susan Sarandon|Paul Terry|David Thewlis|J. Stephen Coyle|Steven Culp|Cirocco Dunlap|Michael Girardin|Tony Haney|Kathryn Howell
471::Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb::Peter Sellers|George C. Scott|Sterling Hayden|Keenan Wynn|Slim Pickens|Peter Bull|James Earl Jones|Tracy Reed|Jack Creley|Frank Berry|Robert O'Neil|Glenn Beck|Roy Stephens|Shane Rimmer|Hal Galili
472::Trainspotting::Ewan McGregor|Ewen Bremner|Jonny Lee Miller|Kevin McKidd|Robert Carlyle|Kelly Macdonald|Peter Mullan|James Cosmo|Eileen Nicholas|Susan Vidler|Pauline Lynch|Shirley Henderson|Stuart McQuarrie|Irvine Welsh|Dale Winton
473::First Wives Club, The::Goldie Hawn|Bette Midler|Diane Keaton|Maggie Smith|Sarah Jessica Parker|Dan Hedaya|Stockard Channing|Victor Garber|Stephen Collins|Elizabeth Berkley|Marcia Gay Harden|Bronson Pinchot|Jennifer Dundas|Eileen Heckart|Philip Bosco
474::Matilda::Mara Wilson|Danny DeVito|Rhea Perlman|Embeth Davidtz|Pam Ferris|Paul Reubens|Tracey Walter|Brian Levinson|Jean Speegle Howard|Sara Magdalin|R.D. Robb|Gregory R. Goliath|Fred Parnes|Kiami Davael|Leor Livneh Hackel
475::Philadelphia Story, The::Cary Grant|Katharine Hepburn|James Stewart|Ruth Hussey|John Howard|Roland Young|John Halliday|Mary Nash|Virginia Weidler|Henry Daniell|Lionel Pape|Rex Evans
476::Vertigo::James Stewart|Kim Novak|Barbara Bel Geddes|Tom Helmore|Henry Jones|Raymond Bailey|Ellen Corby|Konstantin Shayne|Lee Patrick
477::North by Northwest::Cary Grant|Eva Marie Saint|James Mason|Jessie Royce Landis|Leo G. Carroll|Josephine Hutchinson|Philip Ober|Martin Landau|Adam Williams|Edward Platt|Robert Ellenstein|Les Tremayne|Philip Coolidge|Patrick McVey|Edward Binns
478::Apartment, The::Jack Lemmon|Shirley MacLaine|Fred MacMurray|Ray Walston|Jack Kruschen|David Lewis|Hope Holiday|Joan Shawlee|Naomi Stevens|Johnny Seven|Joyce Jameson|Willard Waterman|David White|Edie Adams
479::Some Like It Hot::Marilyn Monroe|Tony Curtis|Jack Lemmon|George Raft|Pat O'Brien|Joe E. Brown|Nehemiah Persoff|Joan Shawlee|Billy Gray|George E. Stone|Dave Barry|Mike Mazurki|Harry Wilson|Beverly Wills|Barbara Drew
480::Casablanca::Humphrey Bogart|Ingrid Bergman|Paul Henreid|Claude Rains|Conrad Veidt|Sydney Greenstreet|Peter Lorre|S.Z. Sakall|Madeleine Lebeau|Dooley Wilson|Joy Page|John Qualen|Leonid Kinskey|Curt Bois
481::Maltese Falcon, The::Humphrey Bogart|Mary Astor|Gladys George|Peter Lorre|Barton MacLane|Lee Patrick|Sydney Greenstreet|Ward Bond|Jerome Cowan|Elisha Cook Jr.|James Burke|Murray Alper|John Hamilton
482::My Fair Lady::Audrey Hepburn|Rex Harrison|Stanley Holloway|Wilfrid Hyde-White|Gladys Cooper|Jeremy Brett|Theodore Bikel|Mona Washbourne|Isobel Elsom|John Holland
483::Sabrina::Humphrey Bogart|Audrey Hepburn|William Holden|Walter Hampden|John Williams|Martha Hyer|Joan Vohs|Marcel Dalio|Marcel Hillaire|Nella Walker|Francis X. Bushman|Ellen Corby
484::Roman Holiday::Gregory Peck|Audrey Hepburn|Eddie Albert|Hartley Power|Harcourt Williams|Margaret Rawlings|Tullio Carminati|Paolo Carlini|Claudio Ermelli|Paola Borboni|Alfredo Rizzo|Laura Solari|Gorella Gori
485::Sunset Blvd.::William Holden|Gloria Swanson|Erich von Stroheim|Nancy Olson|Fred Clark|Lloyd Gough|Jack Webb|Franklyn Farnum|Larry J. Blake|Charles Dayton|Cecil B. DeMille|Hedda Hopper|Buster Keaton|Anna Q. Nilsson|H.B. Warner
486::Notorious::Cary Grant|Ingrid Bergman|Claude Rains|Louis Calhern|Leopoldine Konstantin|Reinhold Schünzel|Moroni Olsen|Ivan Triesault|Alexis Minotis|Wally Brown|Charles Mendl|Ricardo Costa|E.A. Krumschmidt|Fay Baker
487::To Catch a Thief::Cary Grant|Grace Kelly|Jessie Royce Landis|John Williams|Charles Vanel|Brigitte Auber|Jean Martinelli|Georgette Anys
488::Adventures of Robin Hood, The::Errol Flynn|Olivia de Havilland|Basil Rathbone|Claude Rains|Patric Knowles|Eugene Pallette|Alan Hale|Melville Cooper|Ian Hunter|Una O'Connor|Herbert Mundin|Montagu Love|Leonard Willey|Robert Noble|Kenneth Hunter
489::East of Eden::Julie Harris|James Dean|Raymond Massey|Burl Ives|Richard Davalos|Jo Van Fleet|Albert Dekker|Lois Smith|Harold Gordon|Nick Dennis
490::Thin Man, The::William Powell|Myrna Loy|Maureen O'Sullivan|Nat Pendleton|Minna Gombell|Porter Hall|Henry Wadsworth|William Henry|Harold Huber|Cesar Romero|Natalie Moorhead|Edward Brophy|Edward Ellis|Cyril Thornton
491::His Girl Friday::Cary Grant|Rosalind Russell|Ralph Bellamy|Gene Lockhart|Porter Hall|Ernest Truex|Cliff Edwards|Clarence Kolb|Roscoe Karns|Frank Jenks|Regis Toomey|Abner Biberman|Frank Orth|John Qualen|Helen Mack
492::Around the World in 80 Days::David Niven|Cantinflas|Shirley MacLaine|Robert Newton|Charles Boyer|Joe E. Brown|Martine Carol|John Carradine|Charles Coburn|Ronald Colman|Melville Cooper|Noël Coward|Finlay Currie|Reginald Denny|Andy Devine
493::It's a Wonderful Life::James Stewart|Donna Reed|Lionel Barrymore|Thomas Mitchell|Henry Travers|Beulah Bondi|Frank Faylen|Ward Bond|Gloria Grahame|H.B. Warner|Frank Albertson|Todd Karns|Samuel S. Hinds|Mary Treen|Virginia Patton
494::Bringing Up Baby::Katharine Hepburn|Cary Grant|Charles Ruggles|Walter Catlett|Barry Fitzgerald|May Robson|Fritz Feld|Leona Roberts|George Irving|Tala Birell|Virginia Walker|John Kelly
495::African Queen, The::Humphrey Bogart|Katharine Hepburn|Robert Morley|Peter Bull|Theodore Bikel|Walter Gotell|Peter Swanwick|Richard Marner
496::Cat on a Hot Tin Roof::Elizabeth Taylor|Paul Newman|Burl Ives|Jack Carson|Judith Anderson|Madeleine Sherwood|Larry Gates|Vaughn Taylor
497::Fly Away Home::Jeff Daniels|Anna Paquin|Dana Delany|Terry Kinney|Holter Graham|Jeremy Ratchford|Deborah Verginella|Michael J. Reynolds|David Hemblen|Ken James|Nora Ballard|Sarena Paton|Carmen Lishman|Christi Hill|Judith Orban
498::Dumbo::Herman Bing|Billy Bletcher|Edward Brophy|Hall Johnson Choir|Cliff Edwards|Verna Felton|Noreen Gammill|Eddie Holden|Sterling Holloway|Malcolm Hutton|James MacDonald|Harold Manley|John McLeish|Jack Mercer|Tony Neil
499::Bananas::Woody Allen|Louise Lasser|Carlos Montalbán|Nati Abascal|Jacobo Morales|Miguel Ángel Suárez|David Ortiz Angleró|René Enríquez|Jack Axelrod|Howard Cosell|Roger Grimsby|Don Dunphy|Charlotte Rae|Stanley Ackerman|Dan Frazer
500::Candidate, The::Robert Redford|Peter Boyle|Melvyn Douglas|Don Porter|Allen Garfield|Karen Carlson|Quinn K. Redeker|Morgan Upton|Michael Lerner|Kenneth Tobey|Christopher Pray|Joe Miksak|Jenny Sullivan|Tom Dahlgren|Gerald Hiken
501::Bonnie and Clyde::Warren Beatty|Faye Dunaway|Michael J. Pollard|Gene Hackman|Estelle Parsons|Denver Pyle|Dub Taylor|Evans Evans|Gene Wilder
502::Dial M for Murder::Ray Milland|Grace Kelly|Robert Cummings|John Williams|Anthony Dawson|Leo Britt|Patrick Allen|George Leigh|George Alderson|Robin Hughes
503::Rebel Without a Cause::James Dean|Natalie Wood|Sal Mineo|Jim Backus|Ann Doran|Corey Allen|William Hopper|Rochelle Hudson|Dennis Hopper|Edward Platt|Steffi Sidney|Marietta Canty|Virginia Brissac|Beverly Long|Ian Wolfe
504::Streetcar Named Desire, A::Vivien Leigh|Marlon Brando|Kim Hunter|Karl Malden|Rudy Bond|Nick Dennis|Peg Hillias|Wright King|Richard Garrick|Ann Dere|Edna Thomas|Mickey Kuhn
505::People vs. Larry Flynt, The::Woody Harrelson|Courtney Love|Edward Norton|Brett Harrelson|Donna Hanover|James Cromwell|Crispin Glover|Vincent Schiavelli|Miles Chapin|James Carville|Richard Paul|Burt Neuborne|Jan Tríska|Cody Block|Ryan Post
506::My Left Foot::Daniel Day-Lewis|Brenda Fricker|Alison Whelan|Kirsten Sheridan|Declan Croghan|Eanna MacLiam|Marie Conmee|Cyril Cusack|Phelim Drew|Ruth McCabe|Fiona Shaw|Ray McAnally|Pat Laffan|Derry Power|Hugh O'Conor
507::Magnificent Seven, The::Nonez
508::Lawrence of Arabia::Peter O'Toole|Alec Guinness|Anthony Quinn|Jack Hawkins|Omar Sharif|José Ferrer|Anthony Quayle|Claude Rains|Arthur Kennedy|Donald Wolfit|I.S. Johar|Gamil Ratib|Michel Ray|John Dimech|Zia Mohyeddin
509::Wings of Desire::Bruno Ganz|Solveig Dommartin|Otto Sander|Curt Bois|Peter Falk|Hans Martin Stier|Elmar Wilms|Sigurd Rachman|Beatrice Manowski|Lajos Kovács|Bruno Rosaz|Laurent Petitgand|Chick Ortega|Otto Kuhnle|Christoph Merg
510::Third Man, The::Joseph Cotten|Alida Valli|Orson Welles|Trevor Howard|Bernard Lee|Paul Hörbiger|Ernst Deutsch|Siegfried Breuer|Erich Ponto|Wilfrid Hyde-White|Hedwig Bleibtreu
511::Annie Hall::Woody Allen|Diane Keaton|Tony Roberts|Carol Kane|Paul Simon|Shelley Duvall|Janet Margolin|Colleen Dewhurst|Christopher Walken|Donald Symington|Helen Ludlam|Mordecai Lawner|Joan Neuman|Jonathan Munk|Ruth Volner
